MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/01/2025-13:29:57.379877,1.1,0.06,0.0,0.01,0.0,-0.0,0.0,0.09,0.09,0.05,0.24,0.0,0.06,0.05,0.07,0.04,0.04,0.0,0.0,0.0,0.03,0.0,0.02,0.08,0.21,2.3,0.53,0.0,-0.0,0.02,0.14,0.43,0.08,0.06,0.0,0.05
07/01/2025-13:29:57.946599,1.1,0.06,0.0,0.01,0.0,-0.0,0.0,0.09,0.09,0.05,0.24,0.0,0.06,0.05,0.07,0.04,0.04,0.0,0.0,0.0,0.03,0.0,0.02,0.08,0.21,2.3,0.53,0.0,-0.0,0.02,0.14,0.43,0.08,0.06,0.0,0.05
07/01/2025-13:29:58.517771,0.74,0.09,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.11,0.05,0.07,0.0,0.04,0.05,0.08,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.06,1.73,0.53,0.0,-0.0,0.01,0.16,0.71,0.0,0.08,0.06,0.0
07/01/2025-13:29:59.163649,0.74,0.09,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.11,0.05,0.07,0.0,0.04,0.05,0.08,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.06,1.73,0.53,0.0,-0.0,0.01,0.16,0.71,0.0,0.08,0.06,0.0
07/01/2025-13:29:59.739485,0.74,0.09,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.11,0.05,0.07,0.0,0.04,0.05,0.08,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.06,1.73,0.53,0.0,-0.0,0.01,0.16,0.71,0.0,0.08,0.06,0.0
07/01/2025-13:30:00.251293,2.02,0.04,0.0,-0.0,0.0,0.0,0.0,0.09,0.11,0.06,0.1,0.0,0.0,0.06,0.08,0.05,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.15,1.76,0.53,0.0,0.03,0.01,0.18,0.43,0.07,0.1,0.04,0.02
07/01/2025-13:30:00.859655,2.02,0.04,0.0,-0.0,0.0,0.0,0.0,0.09,0.11,0.06,0.1,0.0,0.0,0.06,0.08,0.05,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.15,1.76,0.53,0.0,0.03,0.01,0.18,0.43,0.07,0.1,0.04,0.02
07/01/2025-13:30:01.354862,2.02,0.04,0.0,-0.0,0.0,0.0,0.0,0.09,0.11,0.06,0.1,0.0,0.0,0.06,0.08,0.05,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.15,1.76,0.53,0.0,0.03,0.01,0.18,0.43,0.07,0.1,0.04,0.02
07/01/2025-13:30:01.863306,1.68,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.11,0.06,-0.0,0.0,0.01,0.06,0.05,0.05,0.08,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.15,1.21,0.44,0.0,0.0,0.02,0.11,0.07,0.11,0.11,0.0,0.02
07/01/2025-13:30:02.619050,1.68,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.11,0.06,-0.0,0.0,0.01,0.06,0.05,0.05,0.08,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.15,1.21,0.44,0.0,0.0,0.02,0.11,0.07,0.11,0.11,0.0,0.02
07/01/2025-13:30:03.149572,1.68,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.11,0.06,-0.0,0.0,0.01,0.06,0.05,0.05,0.08,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.15,1.21,0.44,0.0,0.0,0.02,0.11,0.07,0.11,0.11,0.0,0.02
07/01/2025-13:30:03.693773,2.36,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.12,0.07,0.17,0.0,0.06,0.1,0.09,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.04,0.03,0.15,2.95,0.49,0.04,0.06,0.03,0.14,0.28,0.12,0.15,0.01,0.0
07/01/2025-13:30:04.270724,2.36,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.12,0.07,0.17,0.0,0.06,0.1,0.09,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.04,0.03,0.15,2.95,0.49,0.04,0.06,0.03,0.14,0.28,0.12,0.15,0.01,0.0
07/01/2025-13:30:04.809404,2.36,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.12,0.07,0.17,0.0,0.06,0.1,0.09,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.04,0.03,0.15,2.95,0.49,0.04,0.06,0.03,0.14,0.28,0.12,0.15,0.01,0.0
07/01/2025-13:30:05.297128,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.07,0.17,0.0,0.05,0.09,0.13,0.06,0.08,0.0,0.02,0.0,0.06,0.02,0.06,0.08,0.1,2.32,0.76,0.01,0.03,0.02,0.2,1.17,0.11,0.14,0.03,0.05
07/01/2025-13:30:05.803358,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.07,0.17,0.0,0.05,0.09,0.13,0.06,0.08,0.0,0.02,0.0,0.06,0.02,0.06,0.08,0.1,2.32,0.76,0.01,0.03,0.02,0.2,1.17,0.11,0.14,0.03,0.05
07/01/2025-13:30:06.383206,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.07,0.17,0.0,0.05,0.09,0.13,0.06,0.08,0.0,0.02,0.0,0.06,0.02,0.06,0.08,0.1,2.32,0.76,0.01,0.03,0.02,0.2,1.17,0.11,0.14,0.03,0.05
07/01/2025-13:30:06.874716,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.07,0.17,0.0,0.05,0.09,0.13,0.06,0.08,0.0,0.02,0.0,0.06,0.02,0.06,0.08,0.1,2.32,0.76,0.01,0.03,0.02,0.2,1.17,0.11,0.14,0.03,0.05
07/01/2025-13:30:07.428361,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.17,0.09,0.03,0.0,0.04,0.12,0.13,0.09,0.09,0.0,0.0,0.0,0.09,0.01,0.06,0.0,0.0,3.04,0.76,0.03,0.0,0.02,0.13,1.25,-0.0,0.16,0.0,0.02
07/01/2025-13:30:08.084109,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.17,0.09,0.03,0.0,0.04,0.12,0.13,0.09,0.09,0.0,0.0,0.0,0.09,0.01,0.06,0.0,0.0,3.04,0.76,0.03,0.0,0.02,0.13,1.25,-0.0,0.16,0.0,0.02
07/01/2025-13:30:08.591696,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.17,0.09,0.03,0.0,0.04,0.12,0.13,0.09,0.09,0.0,0.0,0.0,0.09,0.01,0.06,0.0,0.0,3.04,0.76,0.03,0.0,0.02,0.13,1.25,-0.0,0.16,0.0,0.02
07/01/2025-13:30:09.128063,1.36,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.15,0.1,0.03,0.0,0.07,0.0,0.19,1.63,0.0,0.0,0.0,0.0,0.14,5.77,0.5,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.15,0.74,0.0,-0.0
