MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:50:38.963269,0.05,0.0,0.0,0.05,0.34,0.01,0.0,0.1,0.0,0.0,0.23,0.07,0.0,0.39,0.06,0.02,0.1,0.08,0.0,0.0,0.04,0.0,-0.0,0.08,0.22,0.37,0.43,0.25,0.05,0.0,0.0,0.17,1.46,0.0,0.22,0.1
07/30/2025-15:50:39.404532,0.05,0.0,0.0,0.05,0.34,0.01,0.0,0.1,0.0,0.0,0.23,0.07,0.0,0.39,0.06,0.02,0.1,0.08,0.0,0.0,0.04,0.0,-0.0,0.08,0.22,0.37,0.43,0.25,0.05,0.0,0.0,0.17,1.46,0.0,0.22,0.1
07/30/2025-15:50:39.840346,0.05,0.03,-0.0,0.03,0.24,0.0,0.0,0.04,0.0,0.0,0.19,0.0,0.0,0.34,0.11,0.02,0.13,0.02,0.0,0.0,0.15,0.0,0.0,0.08,0.03,0.35,0.32,0.04,0.09,0.0,0.14,0.19,1.14,0.0,0.17,0.09
07/30/2025-15:50:40.306504,0.05,0.03,-0.0,0.03,0.24,0.0,0.0,0.04,0.0,0.0,0.19,0.0,0.0,0.34,0.11,0.02,0.13,0.02,0.0,0.0,0.15,0.0,0.0,0.08,0.03,0.35,0.32,0.04,0.09,0.0,0.14,0.19,1.14,0.0,0.17,0.09
07/30/2025-15:50:40.742533,0.05,0.03,-0.0,0.03,0.24,0.0,0.0,0.04,0.0,0.0,0.19,0.0,0.0,0.34,0.11,0.02,0.13,0.02,0.0,0.0,0.15,0.0,0.0,0.08,0.03,0.35,0.32,0.04,0.09,0.0,0.14,0.19,1.14,0.0,0.17,0.09
07/30/2025-15:50:41.175478,0.05,0.03,-0.0,0.03,0.24,0.0,0.0,0.04,0.0,0.0,0.19,0.0,0.0,0.34,0.11,0.02,0.13,0.02,0.0,0.0,0.15,0.0,0.0,0.08,0.03,0.35,0.32,0.04,0.09,0.0,0.14,0.19,1.14,0.0,0.17,0.09
07/30/2025-15:50:41.715440,0.14,0.03,0.04,-0.0,1.16,0.0,-0.0,0.0,0.0,0.0,0.24,0.01,0.0,0.6,0.13,0.02,0.15,0.1,0.0,0.0,0.16,0.0,0.0,0.08,0.0,0.43,0.36,0.07,0.08,0.0,0.42,0.24,0.74,0.03,0.16,0.11
07/30/2025-15:50:42.226151,0.14,0.03,0.04,-0.0,1.16,0.0,-0.0,0.0,0.0,0.0,0.24,0.01,0.0,0.6,0.13,0.02,0.15,0.1,0.0,0.0,0.16,0.0,0.0,0.08,0.0,0.43,0.36,0.07,0.08,0.0,0.42,0.24,0.74,0.03,0.16,0.11
07/30/2025-15:50:42.669957,0.14,0.03,0.04,-0.0,1.16,0.0,-0.0,0.0,0.0,0.0,0.24,0.01,0.0,0.6,0.13,0.02,0.15,0.1,0.0,0.0,0.16,0.0,0.0,0.08,0.0,0.43,0.36,0.07,0.08,0.0,0.42,0.24,0.74,0.03,0.16,0.11
07/30/2025-15:50:43.142778,0.14,0.03,0.04,-0.0,1.16,0.0,-0.0,0.0,0.0,0.0,0.24,0.01,0.0,0.6,0.13,0.02,0.15,0.1,0.0,0.0,0.16,0.0,0.0,0.08,0.0,0.43,0.36,0.07,0.08,0.0,0.42,0.24,0.74,0.03,0.16,0.11
